38
11
30
48
1	10	1.00	0.01	0.01
2	10	1.00	0.01	0.01
3	10	1.00	0.01	0.01
4	1	8.00	0.01	0.01
4	3	8.00	0.01	0.01
5	4	2.00	0.01	0.01
5	5	2.00	0.01	0.01
6	3	2.00	0.01	0.01
7	1	4.00	0.01	0.01
7	3	4.00	0.01	0.01
8	9	1.00	0.01	0.01
8	10	1.00	0.01	0.01
9	3	8.00	0.01	0.01
10	7	2.00	0.01	0.01
11	2	4.00	0.01	0.01
11	3	4.00	0.01	0.01
12	7	2.00	0.01	0.01
13	2	4.00	0.01	0.01
13	3	4.00	0.01	0.01
14	7	1.00	0.01	0.01
15	2	2.00	0.01	0.01
15	3	2.00	0.01	0.01
16	7	1.00	0.01	0.01
17	3	1.00	0.01	0.01
18	3	2.00	0.01	0.01
19	3	1.00	0.01	0.01
20	7	1.00	0.01	0.01
21	7	1.00	0.01	0.01
22	3	1.00	0.01	0.01
23	7	1.00	0.01	0.01
24	7	1.00	0.01	0.01
25	3	2.00	0.01	0.01
26	1	1.00	0.01	0.01
26	3	1.00	0.01	0.01
27	7	1.00	0.01	0.01
28	3	2.00	0.01	0.01
29	5	1.00	0.01	0.01
29	6	1.00	0.01	0.01
30	1	1.00	0.01	0.01
30	3	1.00	0.01	0.01
31	10	1.00	0.01	0.01
32	10	1.00	0.01	0.01
33	10	1.00	0.01	0.01
34	10	1.00	0.01	0.01
35	10	1.00	0.01	0.01
36	10	1.00	0.01	0.01
37	10	1.00	0.01	0.01
38	10	1.00	0.01	0.01
92
1	4	1	0.01
1	7	1	0.01
1	26	1	0.01
1	30	1	0.01
1	5	1	0.01
2	29	1	0.01
2	11	1	0.01
2	13	1	0.01
2	15	1	0.01
3	4	1	0.01
3	6	1	0.01
3	7	1	0.01
3	9	1	0.01
3	11	1	0.01
3	13	1	0.01
3	15	1	0.01
3	17	1	0.01
3	18	1	0.01
3	19	1	0.01
3	22	1	0.01
3	25	1	0.01
3	26	1	0.01
3	28	1	0.01
3	30	1	0.01
3	37	1	0.01
4	8	1	0.01
4	5	1	0.01
5	29	1	0.01
5	8	1	0.01
6	8	1	0.01
6	29	1	0.01
7	10	1	0.01
7	12	1	0.01
7	14	1	0.01
7	16	1	0.01
7	20	1	0.01
7	21	1	0.01
7	23	1	0.01
7	24	1	0.01
7	27	1	0.01
7	8	1	0.01
9	8	1	0.01
9	8	1	0.01
10	8	1	0.01
10	8	1	0.01
11	10	1	0.01
12	8	1	0.01
13	12	1	0.01
14	8	1	0.01
15	14	1	0.01
16	8	1	0.01
17	16	1	0.01
17	20	1	0.01
18	16	1	0.01
18	20	1	0.01
18	21	1	0.01
18	23	1	0.01
19	16	1	0.01
19	20	1	0.01
19	21	1	0.01
19	23	1	0.01
20	8	1	0.01
21	8	1	0.01
22	21	1	0.01
22	23	1	0.01
23	8	1	0.01
24	8	1	0.01
25	24	1	0.01
26	24	1	0.01
27	8	1	0.01
28	27	1	0.01
29	27	1	0.01
30	27	1	0.01
31	6	1	0.01
31	19	1	0.01
32	7	1	0.01
32	9	1	0.01
32	22	1	0.01
32	25	1	0.01
32	26	1	0.01
32	28	1	0.01
32	30	1	0.01
33	11	1	0.01
33	13	1	0.01
33	15	1	0.01
33	17	1	0.01
33	18	1	0.01
34	38	1	0.01
35	4	1	0.01
36	8	1	0.01
37	36	1	0.01
38	36	1	0.01

#1  # of items
#2  # of resources
#3  # of periods

#3.1 #de linhas a ler a seguir
#4  items
#5  number of ressource that produces the item
#6  production time per unit
#7	tempo de setup do produto na maquina
#7.1custo de setup do produto na maquina

#8  product ID component
#9  product ID parent
#10 units of component needed to produce one unit of parent
#lead time
